iter	Passed	Remaining
0	1	169
1	3	181
2	5	189
3	7	171
4	8	164
5	10	162
6	11	156
7	13	150
8	14	145
9	15	140
10	17	137
11	18	134
12	19	132
13	21	130
14	22	127
15	23	124
16	24	121
17	26	119
18	27	117
19	29	116
20	30	114
21	31	112
22	33	110
23	34	109
24	35	107
25	37	106
26	38	104
27	39	102
28	41	100
29	42	98
30	43	96
31	44	94
32	45	93
33	47	91
34	48	89
35	49	88
36	51	86
37	52	85
38	53	83
39	54	82
40	56	80
41	57	79
42	58	77
43	59	75
44	61	74
45	62	73
46	63	71
47	65	70
48	66	68
49	67	67
50	68	66
51	69	64
52	71	63
53	72	61
54	73	60
55	74	58
56	76	57
57	77	56
58	78	54
59	79	53
60	81	51
61	82	50
62	83	49
63	84	47
64	86	46
65	87	45
66	88	43
67	90	42
68	91	41
69	92	39
70	93	38
71	95	36
72	96	35
73	97	34
74	98	32
75	100	31
76	101	30
77	102	28
78	103	27
79	104	26
80	105	24
81	107	23
82	108	22
83	109	20
84	111	19
85	112	18
86	113	16
87	114	15
88	116	14
89	117	13
90	118	11
91	119	10
92	121	9
93	122	7
94	123	6
95	124	5
96	126	3
97	127	2
98	129	1
99	130	0
